,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Chill Time:
0,7642173,Caramel Apple Pie Cookies,30 mins,12 mins,20 mins,52 mins,20 ,20 cookies plus scraps,20,112,5g,2g,0mg,102mg,16g,1g,5g,1g,0mg,6mg,0mg,25mg,4.0,1,,
1,6737700,Mom's Apple Cranberry Pie,20 mins,45 mins,, 1 hr 5 mins,8 ,1 (9-inch) pie,8,397,17g,6g,8mg,256mg,59g,4g,28g,4g,6mg,20mg,2mg,143mg,4.6,59,,
2,6663393,Apple Pie by Grandma Ople,30 mins, 1 hr,, 1 hr 30 mins,8 ,1 9-inch pie,8,373,19g,9g,31mg,124mg,52g,3g,,2g,5mg,23mg,1mg,156mg,4.8,"12,642",,
3,6649719,Apple Pie Filling,20 mins,20 mins,, 2 hrs 40 mins,40 ,Apple filling for 5 (9-inch) pies,40,129,0g,,,61mg,33g,1g,28g,0g,3mg,7mg,0mg,63mg,4.7,453, 2 hrs,
4,6651083,Apple Tarte Tatin,15 mins,30 mins,,50 mins,6 ,1 (10-inch) tarte tatin,6,351,16g,6g,15mg,198mg,53g,3g,36g,2g,5mg,10mg,1mg,139mg,4.7,95,5 mins,
5,6598591,Canned Apple Pie Filling,30 mins,10 mins,, 1 hr,56 ,7 quarts,56,97,0g,,,85mg,25g,1g,21g,0g,3mg,5mg,0mg,54mg,4.6,396,20 mins,
6,6649894,Easy Apple Pie,20 mins,40 mins,, 1 hr,8 ,1 9-inch pie,8,249,9g,3g,4mg,128mg,42g,3g,29g,2g,4mg,11mg,1mg,117mg,4.6,711,,
7,6663607,Apple Crumb Pie,30 mins,50 mins,, 1 hr 20 mins,8 ,1 9-inch pie,8,408,15g,4g,11mg,139mg,70g,4g,49g,4g,6mg,37mg,1mg,261mg,4.7,982,,
8,6740849,Apple Hand Pies,25 mins,35 mins,, 1 hr 15 mins,4 ,4 hand pies,4,728,42g,13g,62mg,754mg,82g,6g,31g,9g,5mg,38mg,4mg,215mg,4.8,168,15 mins,
9,7508367,Croatian Apple Pie Squares,20 mins,50 mins,, 3 hrs 10 mins,8 ,,8,628,32g,19g,148mg,35mg,82g,5g,41g,7g,8mg,47mg,3mg,321mg,,,, 2 hrs
10,6599611,Dutch Apple Pie with Oatmeal Streusel,15 mins,45 mins,, 1 hr,8 ,1 9-inch pie,8,441,20g,10g,38mg,210mg,63g,3g,38g,4g,4mg,33mg,2mg,159mg,4.6,664,,
11,6571544,Old Fashioned Apple Pie,20 mins,50 mins,, 1 hr 10 mins,8 ,1 9-inch pie,8,402,17g,4g,8mg,374mg,61g,3g,35g,2g,4mg,19mg,0mg,155mg,4.6,108,,
12,6649646,Fried Apple Pies,15 mins,15 mins,, 1 hr,8 ,,8,755,68g,10g,,292mg,35g,2g,10g,3g,2mg,8mg,2mg,71mg,4.5,257,30 mins,
13,6738936,Grandma's Iron Skillet Apple Pie,15 mins,45 mins,, 1 hr 15 mins,8 ,1 9-inch pie,8,734,34g,17g,49mg,396mg,108g,2g,70g,3g,4mg,37mg,0mg,138mg,4.8,535,15 mins,
14,6590572,No-Sugar Apple Pie,25 mins, 1 hr 5 mins,, 1 hr 30 mins,8 ,1 pie,8,307,11g,2g,,218mg,52g,3g,30g,2g,49mg,31mg,1mg,361mg,4.5,174,,
15,6649546,Chef John's Caramel Apple Pie,30 mins, 1 hr,, 1 hr 40 mins,8 ,1 9-inch pie,8,336,16g,7g,23mg,142mg,48g,3g,35g,2g,4mg,22mg,1mg,128mg,4.6,473,10 mins,
16,6585101,Perfect Apple Crisp Pie,25 mins,55 mins,, 1 hr 20 mins,8 ,1 9-inch deep-dish pie,8,440,16g,7g,20mg,211mg,72g,3g,42g,4g,3mg,44mg,2mg,184mg,4.8,25,,
17,6601530,Easy Swedish Apple Pie,20 mins,40 mins,, 1 hr,8 ,1 (9-inch) pie,8,359,18g,11g,69mg,133mg,49g,2g,35g,3g,4mg,18mg,1mg,126mg,4.6,253,,
18,6562725,Chef John's Easy Apple Pie,30 mins, 1 hr,, 1 hr 30 mins,8 ,1 (9-inch) pie,8,454,23g,10g,23mg,254mg,61g,4g,31g,4g,5mg,30mg,2mg,194mg,4.7,360,,
19,6739186,Air Fryer Apple Pies,30 mins,15 mins,,45 mins,4 ,,4,497,29g,11g,31mg,328mg,60g,4g,36g,3g,4mg,35mg,2mg,150mg,4.4,17,,
20,6578724,Easy Air Fryer Apple Pies,15 mins,10 mins,,25 mins,10 ,10 mini pies,10,264,13g,3g,16mg,225mg,35g,2g,0g,3g,1mg,8mg,1mg,56mg,4.7,12,,
21,6576905,Easy Apple Kuchen,15 mins,40 mins,,55 mins,15 ,,15,223,7g,3g,21mg,206mg,39g,2g,25g,2g,2mg,78mg,1mg,86mg,4.6,12,,
22,6573495,Sour Cream Apple Pie Deluxe,20 mins, 1 hr,, 1 hr 20 mins,8 ,1 - (9 inch) pie,8,382,20g,10g,51mg,219mg,48g,2g,30g,4g,2mg,47mg,1mg,105mg,4.7,372,,
23,6650756,Mini Apple Pies,20 mins,30 mins,, 1 hr 20 mins,4 ,4 mini pies,4,614,30g,8g,,469mg,83g,5g,35g,6g,8mg,16mg,3mg,171mg,4.7,26,30 mins,
24,6737427,Appeltaart (Dutch Apple Tart),25 mins, 1 hr,, 1 hr 25 mins,8 ,1 (9-inch) tart,8,445,19g,11g,92mg,158mg,64g,5g,33g,6g,0mg,41mg,2mg,270mg,4.5,6,,
25,6737730,Apple Crumble Pie,30 mins,40 mins,, 1 hr 10 mins,8 ,1 deep dish 9-inch pie,8,358,16g,8g,23mg,210mg,52g,3g,30g,3g,4mg,16mg,1mg,125mg,4.7,"1,151",,
26,6590369,Apple Pie in a Brown Paper Bag,25 mins, 1 hr,, 1 hr 45 mins,10 ,1 8-inch pie,10,405,16g,11g,42mg,78mg,67g,5g,45g,3g,13mg,30mg,2mg,297mg,4.9,36,20 mins,
27,6739162,Apple Slab Pie,30 mins, 1 hr,, 1 hr 30 mins,15 ,1 (10x15-inch) pie,15,405,18g,8g,53mg,125mg,62g,3g,42g,3g,4mg,31mg,1mg,125mg,4.6,126,,
28,6588973,Danish Pastry Apple Bars,30 mins, 1 hr,, 1 hr 30 mins,12 ,1 9x13-inch pan,12,356,18g,5g,18mg,207mg,47g,4g,23g,4g,5mg,31mg,1mg,181mg,4.6,123,,
29,6650624,Dutch Apple Pie,30 mins, 1 hr,, 1 hr 30 mins,8 ,1 9-inch apple pie,8,407,19g,9g,31mg,200mg,60g,4g,39g,3g,8mg,16mg,1mg,180mg,4.6,180,,
30,6592720,Apple Streusel Pie,,,,,8 ,8 slices,8,778,44g,9g,15mg,605mg,93g,6g,36g,6g,7mg,54mg,1mg,348mg,4.6,58,,
31,6575836,Apple Slice Squares,30 mins,45 mins,, 1 hr 45 mins,12 ,,12,296,13g,3g,31mg,110mg,44g,2g,24g,4g,4mg,13mg,1mg,112mg,4.4,20,30 mins,
32,6572877,Aunt Carol's Apple Pie,30 mins, 1 hr,, 1 hr 30 mins,8 ,1 10-inch pie,8,492,18g,6g,8mg,257mg,81g,6g,51g,4g,6mg,28mg,2mg,179mg,4.7,169,,
33,6664570,Tarte aux Pommes Normande (French Apple Tart), 1 hr,40 mins,, 1 hr 40 mins,8 ,,8,516,32g,16g,177mg,289mg,51g,4g,27g,8g,4mg,63mg,2mg,246mg,4.8,154,,
34,6568503,Best Apple Pie,,,,,8 ,1 pie,8,329,17g,5g,4mg,318mg,44g,6g,16g,3g,8mg,16mg,2mg,200mg,4.1,44,,
35,6593398,Apple Pie,,,,,8 ,8 servings,8,382,17g,5g,4mg,248mg,57g,4g,31g,4g,6mg,23mg,2mg,163mg,4.6,185,,
36,6592125,All American Apple Pie,25 mins,45 mins,, 1 hr 10 mins,8 ,1 to 9 - inch pie,8,529,26g,9g,31mg,376mg,73g,4g,43g,4g,5mg,22mg,2mg,159mg,4.6,612,,
37,6572860,American Apple Pie,20 mins,40 mins,, 1 hr 30 mins,8 ,1 to 9 - inch pie,8,312,9g,3g,23mg,171mg,59g,4g,40g,3g,6mg,33mg,1mg,296mg,4.4,77,30 mins,
38,6601198,Applesauce Custard Pie,,,,,8 ,1 pie,8,273,12g,5g,62mg,162mg,40g,1g,32g,2g,1mg,14mg,1mg,83mg,4.1,69,,
39,6573808,Swedish Apple Pie,15 mins, 1 hr 5 mins,, 1 hr 20 mins,8 ,1 to 9 - inch pie,8,386,23g,4g,17mg,207mg,45g,2g,31g,3g,2mg,23mg,1mg,102mg,4.7,157,,
40,6578047,Apple-Berry Pie,20 mins,50 mins,, 1 hr 10 mins,8 ,1 to 9 - inch pie,8,385,18g,6g,8mg,255mg,54g,4g,30g,3g,9mg,19mg,2mg,119mg,4.7,152,,
41,6598313,Iron Skillet Apple Pie,10 mins,55 mins,, 1 hr 5 mins,8 ,8 servings,8,572,27g,11g,31mg,324mg,84g,4g,61g,3g,4mg,41mg,2mg,167mg,4.8,88,,
42,6597880,Easy German Apple Streusel Pie,20 mins, 1 hr,, 1 hr 25 mins,10 ,10 servings,10,365,17g,10g,59mg,180mg,53g,3g,29g,4g,4mg,112mg,2mg,129mg,4.3,12,5 mins,
43,6590886,Upside-Down Apple Pecan Pie,30 mins,50 mins,, 2 hrs 20 mins,8 ,1 to 9 - inch deep dish pie,8,523,33g,6g,,326mg,56g,5g,30g,5g,5mg,36mg,2mg,218mg,4.8,77, 1 hr,
44,6736374,Glazed Apple Cream Pie,15 mins,45 mins,, 3 hrs,8 ,1 to 9 - inch pie,8,480,29g,12g,41mg,319mg,51g,3g,25g,4g,2mg,44mg,2mg,115mg,4.8,300, 2 hrs,
45,6649933,Fast Apple Rhubarb Pie,,,,,8 ,1 to 9 - inch pie,8,237,5g,1g,,104mg,48g,3g,37g,1g,6mg,32mg,1mg,186mg,4.2,50,,
46,6596220,Warm Apple Pocket,20 mins,40 mins,, 1 hr,6 ,6 servings,6,409,23g,6g,31mg,365mg,45g,4g,12g,6g,3mg,24mg,2mg,126mg,4.4,30,,
47,6587483,Awesome Apple Pie Cookies,30 mins,55 mins,, 1 hr 55 mins,24 ,24 cookies,24,234,13g,4g,5mg,210mg,28g,2g,11g,2g,1mg,12mg,1mg,55mg,4.2,16,30 mins,
48,6595993,Caramel Apple Walnut Pie,15 mins, 1 hr 10 mins,, 1 hr 25 mins,8 ,1 9-inch pie,8,577,26g,11g,40mg,277mg,57g,2g,40g,5g,4mg,36mg,1mg,141mg,4.3,20,,
49,6579291,Apple Blackberry Pie,20 mins,55 mins,, 1 hr 15 mins,6 ,1 9-inch pie,6,433,18g,7g,20mg,218mg,70g,5g,50g,3g,13mg,36mg,2mg,250mg,4.9,19,,
50,6575460,Creamy Apple Blueberry Pie,20 mins, 1 hr,, 1 hr 40 mins,8 ,1 9-inch pie,8,464,26g,11g,56mg,335mg,55g,3g,29g,6g,4mg,87mg,2mg,236mg,4.7,26,20 mins,
51,6594335,Healthier Apple Pie by Grandma Ople,30 mins, 1 hr,, 1 hr 30 mins,8 ,1 9-inch pie,8,413,21g,7g,15mg,240mg,55g,5g,28g,4g,6mg,26mg,2mg,200mg,4.3,47,,
52,6574131,Sunday's Apple Pie,45 mins,50 mins,, 1 hr 35 mins,8 ,1 9-inch pie,8,376,20g,7g,11mg,266mg,49g,5g,23g,3g,5mg,18mg,2mg,146mg,4.7,225,,
53,6599866,Rustic Fruit Galette,15 mins,30 mins,,45 mins,4 ,4 servings,4,319,15g,4g,,235mg,44g,5g,18g,3g,5mg,14mg,1mg,149mg,4.9,19,,
54,6601483,Fresh Apple Tarts,30 mins,30 mins,, 2 hrs 30 mins,16 ,16 tarts,16,388,16g,8g,79mg,60mg,56g,2g,26g,6g,2mg,26mg,2mg,122mg,4.6,14, 1 hr 30 mins,
55,6581791,Mum's Irish Apple Pie,20 mins,45 mins,, 2 hrs 5 mins,8 ,1 9-inch pie,8,527,31g,17g,87mg,163mg,61g,4g,28g,5g,7mg,32mg,3mg,215mg,4.7,89, 1 hr,
56,6588293,Apple Pie with Pre-Cooked Apple Filling,30 mins,40 mins,, 1 hr 10 mins,8 ,1 9-inch pie,8,279,11g,2g,,206mg,47g,5g,26g,2g,8mg,26mg,1mg,224mg,4.3,27,,
57,6601183,Impossible French Apple Pie,15 mins,55 mins,, 1 hr 10 mins,10 ,1 10-inch pie,10,324,13g,5g,54mg,306mg,50g,2g,36g,5g,3mg,50mg,1mg,173mg,4.3,83,,
58,6580227,Vegan Apple Pie,30 mins,50 mins,, 1 hr 50 mins,8 ,1 9-inch pie,8,642,34g,9g,,638mg,81g,4g,47g,5g,6mg,42mg,2mg,217mg,4.0,3,30 mins,
59,6650108,Individual Honeycrisp Apple Tarts,40 mins,45 mins,, 1 hr 35 mins,2 ,2 individual tarts,2,919,54g,17g,20mg,385mg,104g,7g,42g,10g,11mg,44mg,4mg,326mg,5.0,4,10 mins,
60,6603394,Apple Pie II,45 mins, 1 hr,, 2 hrs 15 mins,8 ,1 pie,8,372,19g,9g,31mg,201mg,52g,3g,38g,2g,5mg,10mg,1mg,114mg,4.7,135,30 mins,
61,6577530,Campfire Apple Pie,5 mins,5 mins,,10 mins,1 ,1 pie,1,301,13g,8g,31mg,490mg,41g,2g,3g,5g,1mg,91mg,2mg,82mg,4.9,25,,
62,6591126,Mom's Apple Pie I,,,,,8 ,1 to 9 - inch pie,8,397,18g,6g,8mg,292mg,55g,4g,30g,3g,5mg,15mg,2mg,144mg,4.7,143,,
