,id_recipe,name,Prep Time:,Cook Time:,Refrigerate Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:,Chill Time:,Additional Time:,Stand Time:,Bake Time:
0,7971929,3-Ingredient Peanut Butter Oatmeal Cookies,10 mins,0 mins,30 mins,45 mins,12 ,12,127,6g,1g,0mg,53mg,16g,2g,7g,4g,0mg,21mg,1mg,121mg,,,,,,,,
1,7775410,Maple Pecan Blondies,15 mins,35 mins,, 1 hr,16 ,16,284,15g,6g,44mg,198mg,34g,1g,20g,3g,0mg,54mg,1mg,109mg,,,10 mins,16 blondies,,,,
2,7968770,3 Ingredient Sugar Cookies,5 mins,14 mins,,19 mins,4 ,4,411,23g,14g,61mg,376mg,48g,1g,25g,3g,0mg,113mg,1mg,46mg,,,,,,,,
3,7570645,Cherry Cornmeal Crumb Bars,20 mins,45 mins,, 1 hr 25 mins,16 ,16,167,7g,4g,38mg,124mg,25g,1g,13g,2g,3mg,16mg,1mg,92mg,,,20 mins,,,,,
4,7564453,Almond-Oatmeal Cookies with Black Raspberries,20 mins,12 mins,,32 mins,40 ,40,123,5g,2g,15mg,64mg,17g,2g,8g,3g,2mg,27mg,1mg,83mg,5.0,1,,,,,,
5,7554374,Churro Cheesecake Bars,15 mins,30 mins,,45 mins,24 ,24,171,12g,7g,42mg,157mg,14g,1g,8g,3g,0mg,29mg,0mg,50mg,4.7,3,,24 bars,,,,
6,7561826,Maple Blondies,10 mins,15 mins,,40 mins,16 ,16,156,7g,4g,29mg,130mg,22g,0g,14g,2g,0mg,22mg,1mg,50mg,4.0,1,15 mins,16 blondies,,,,
7,7509875,Air Fryer Raspberry Brownie Bites,25 mins,10 mins,,45 mins,20 ,20,148,9g,3g,34mg,41mg,16g,2g,8g,2g,2mg,13mg,1mg,82mg,,,20 mins,20 brownie bites,,,,
8,7497371,Oreo Cheesecake Bars,25 mins,45 mins,, 4 hrs 5 mins,48 ,48,138,9g,5g,31mg,113mg,13g,0g,9g,2g,0mg,22mg,1mg,54mg,5.0,3, 3 hrs,48 squares,,,,
9,7497343,Copycat Raspberry Rallies,30 mins,10 mins,, 2 hrs,34 ,34,170,10g,7g,16mg,29mg,20g,1g,15g,1g,7mg,16mg,1mg,77mg,,,20 mins,34 cookies, 1 hr,,,
10,7501307,Air Fryer Pizookie,5 mins,10 mins,,15 mins,,,5321,300g,113g,2mg,4936mg,618g,22g,13g,38g,0mg,168mg,13mg,927mg,4.0,2,,,,,,
11,6597434,Nutella Cookies,20 mins,10 mins,,30 mins,24 ,24,180,11g,4g,19mg,52mg,20g,1g,14g,3g,0mg,16mg,1mg,40mg,5.0,1,,24 cookies,,,,
12,6665021,Lemon Shortbread Cookies,45 mins,10 mins,, 2 hrs 55 mins,24 ,24,317,18g,12g,48mg,62mg,37g,1g,20g,2g,3mg,15mg,1mg,35mg,4.6,30,,24 cookies,, 2 hrs,,
13,7182180,Shirini Nargili,25 mins,35 mins,, 2 hrs,30 ,30,39,2g,0g,0mg,7mg,5g,0g,5g,0g,0mg,0mg,0mg,7mg,5.0,1,,30 cookies,,, 1 hr,
14,7112373,Samoa Cookie Bars,30 mins,20 mins,, 1 hr 50 mins,24 ,24,274,14g,9g,21mg,134mg,38g,3g,,3g,,,,127mg,4.0,3, 1 hr,24 Samoa cookie bars,,,,
15,7111497,Homemade Thin Mints,30 mins,7 mins,, 2 hrs 37 mins,24 ,24,169,11g,7g,10mg,28mg,19g,2g,,2g,,,,21mg,4.3,3,,24 Thin Mints, 2 hrs,,,
16,7110236,Homemade Tagalongs,30 mins,7 mins,, 2 hrs 37 mins,46 ,46,173,11g,6g,24mg,53mg,17g,1g,,3g,,,,95mg,5.0,2,,46 cookies, 1 hr,, 1 hr,
17,7108822,Mocha Cookie Bars,15 mins,20 mins,,45 mins,16 ,16,130,6g,4g,27mg,107mg,17g,1g,,2g,,,,62mg,5.0,4,10 mins,16 mocha cookie bars,,,,
18,7108668,Snickerdoodle Bars,10 mins,20 mins,, 1 hr 30 mins,16 ,16,133,6g,4g,27mg,107mg,18g,0g,,2g,,,,38mg,4.7,9, 1 hr,16 snickerdoodle bars,,,,
19,6575238,Gluten-Free Holiday Bliss Cookie Bars,20 mins,25 mins,, 1 hr 15 mins,48 ,48,165,9g,5g,19mg,108mg,21g,1g,14g,1g,,21mg,0mg,20mg,,,,48 cookie bars,,30 mins,,
20,7100435,Peanut Butter M&M Cookies,10 mins,10 mins,,30 mins,16 ,16,173,10g,3g,12mg,194mg,19g,1g,,5g,,,,141mg,4.7,9,10 mins,16 cookies,,,,
21,6648560,Fresh Blackberry Crumble Bars,20 mins, 1 hr,, 3 hrs 20 mins,9 ,9,330,14g,7g,27mg,157mg,50g,4g,,4g,,,,169mg,5.0,3, 2 hrs,9 blackberry crumble bars,,,,
22,6951327,TikTok Brownies,10 mins,,, 1 hr 20 mins,16 ,16,128,7g,4g,39mg,10mg,17g,1g,,2g,,,,43mg,4.0,5,45 mins,16 brownies,,,,25 mins
23,6746809,Granola Oatmeal Cookies,20 mins,,,35 mins,18 ,18,122,7g,4g,24mg,84mg,12g,1g,,2g,,,,56mg,5.0,15,,18 cookies,,,,15 mins
24,6831310,Sable Cookies,20 mins,,,47 mins,18 ,18,145,8g,5g,43mg,54mg,16g,0g,,2g,,,,23mg,5.0,2,15 mins,18 cookies,,,,12 mins
25,6831196,Chocolate Thumbprint Cookies,30 mins,,, 1 hr 10 mins,24 ,24,135,8g,5g,26mg,65mg,15g,1g,,2g,,,,32mg,4.7,9,30 mins,24 cookies,,,,10 mins
26,6830099,Swirled Citrus Butter Cookies,25 mins,10 mins,, 2 hrs 5 mins,16 ,16,118,6g,4g,15mg,61mg,15g,0g,,1g,,,,16mg,3.0,3,30 mins,16 cookies, 1 hr,,,
27,6830035,Brown Sugar and Rye Shortbread,15 mins,22 mins,,42 mins,21 ,21,157,9g,6g,23mg,110mg,18g,3g,,2g,,,,103mg,5.0,3,,21 cookies,,,5 mins,
28,6571705,Chocolate Coated Peanut Butter Crackers,30 mins,5 mins,,50 mins,40 ,40,389,24g,11g,10mg,214mg,39g,1g,29g,6g,0mg,104mg,1mg,202mg,4.8,128,,40 sandwich cookies,,15 mins,,
29,6829563,Strawberry Malted Milk Meringues,20 mins, 1 hr,, 1 hr 20 mins,90 ,90,16,,,,4mg,4g,,,0g,,,,7mg,5.0,1,,90 meringues,,,,
30,6753254,Fudge Stripe Cookies,45 mins,,, 2 hrs 47 mins,36 ,36,140,8g,5g,19mg,31mg,17g,1g,,2g,,,,47mg,4.5,4,,36 cookies, 1 hr 50 mins,,,12 mins
31,6586247,Cranberry Pumpkin Cookies,20 mins,15 mins,,35 mins,36 ,36,90,4g,2g,12mg,131mg,13g,1g,6g,1g,1mg,22mg,1mg,36mg,4.5,430,,3 dozen,,,,
32,6649915,Pecan Pie Cookies,20 mins,10 mins,, 1 hr,24 ,24,185,10g,5g,28mg,82mg,22g,1g,12g,2g,,27mg,1mg,43mg,4.5,131,,2 dozen cookies,,30 mins,,
33,6736883,Edible Cookie Dough,15 mins,,,15 mins,8 ,8,348,19g,11g,34mg,254mg,46g,1g,32g,3g,,45mg,1mg,94mg,4.4,305,,,,,,
34,6664789,The Best Rolled Sugar Cookies,20 mins,,, 1 hr 26 mins,60 ,60,110,5g,3g,25mg,93mg,15g,0g,7g,2g,,14mg,1mg,17mg,4.5,"11,117",,60 cookies, 1 hr,,,6 mins
35,6664451,Soft Oatmeal Cookies,15 mins,10 mins,, 1 hr 30 mins,24 ,24,218,9g,5g,36mg,213mg,32g,1g,17g,3g,,21mg,1mg,69mg,4.7,"5,381",,24 cookies,, 1 hr 5 mins,,
36,6663137,Three Ingredient Peanut Butter Cookies,20 mins,10 mins,,30 mins,12 ,12,394,23g,5g,31mg,209mg,42g,3g,37g,12g,,23mg,1mg,291mg,4.4,"1,824",,1 dozen,,,,
37,6650740,Easy Sugar Cookies,20 mins,10 mins,,30 mins,48 ,48,86,4g,3g,14mg,60mg,12g,0g,6g,1g,,6mg,0mg,11mg,4.5,"8,598",,4 dozen,,,,
38,6649624,Best Chocolate Chip Cookies,20 mins,10 mins,,30 mins,48 ,48,146,8g,4g,10mg,76mg,19g,1g,,2g,,11mg,1mg,52mg,4.6,"18,840",,4 dozen,,,,
39,6649439,The Best Lemon Bars,15 mins,35 mins,,50 mins,24 ,24,175,8g,5g,20mg,55mg,26g,0g,,1g,,4mg,1mg,15mg,4.5,"3,634",,1 9x13-inch pan,,,,
40,6648993,Classic Peanut Butter Cookies,15 mins,10 mins,, 1 hr 25 mins,48 ,48,126,7g,3g,18mg,101mg,15g,1g,,2g,,15mg,1mg,57mg,4.6,"4,447",,4 dozen,, 1 hr,,
41,6648395,Best Brownies,15 mins,30 mins,,45 mins,16 ,16,183,9g,5g,44mg,110mg,26g,1g,21g,2g,,14mg,1mg,60mg,4.6,"13,636",,16 brownies,,,,
42,6740992,"Best Big, Fat, Chewy Chocolate Chip Cookie",15 mins,15 mins,,30 mins,18 ,18,285,14g,8g,42mg,111mg,40g,2g,28g,3g,,23mg,1mg,107mg,4.6,"12,391",,1 1/2 dozen,,,,
43,6663642,Chewy Chocolate Chip Oatmeal Cookies,20 mins,12 mins,,47 mins,42 ,42,145,8g,4g,21mg,107mg,17g,1g,10g,2g,,15mg,1mg,64mg,4.5,"5,682",15 mins,42 cookies,,,,
44,6649366,No-Bake Cookies,10 mins,5 mins,,45 mins,36 ,36,110,5g,2g,7mg,38mg,16g,1g,10g,2g,,11mg,0mg,67mg,4.6,"1,260",,3 dozen,,30 mins,,
45,6663365,Mrs. Sigg's Snickerdoodles,20 mins,10 mins,,30 mins,48 ,48,92,4g,2g,13mg,55mg,12g,0g,7g,1g,,4mg,0mg,33mg,4.8,"6,979",,48 cookies,,,,
46,6664203,Big Soft Ginger Cookies,20 mins,10 mins,,35 mins,24 ,24,143,6g,1g,8mg,147mg,21g,0g,11g,2g,0mg,13mg,1mg,71mg,4.7,"6,823",,2 dozen,,5 mins,,
47,6650951,Deep-Fried Oreos,10 mins,20 mins,,30 mins,30 ,30,156,10g,2g,7mg,152mg,16g,1g,7g,2g,,34mg,1mg,54mg,4.7,310,,30 cookies,,,,
48,6664558,Chocolate Crinkle Cookies,20 mins,30 mins,, 5 hrs,72 ,72,58,2g,0g,10mg,34mg,10g,1g,6g,1g,,11mg,0mg,26mg,4.7,"2,480",,6 dozen,, 4 hrs 10 mins,,
49,6605231,Magic Cookie Bars from Eagle Brand,15 mins,25 mins,,40 mins,36 ,36,167,10g,5g,11mg,64mg,14g,1g,11g,2g,,8mg,1mg,64mg,4.7,941,,36 bars,,,,
50,6650775,Original Nestle Toll House Chocolate Chip Cookies,15 mins,10 mins,,40 mins,60 ,60,108,6g,3g,14mg,85mg,13g,1g,9g,1g,,7mg,0mg,39mg,4.6,538,,60 cookies,,15 mins,,
51,6650202,Iced Pumpkin Cookies,20 mins,15 mins,, 1 hr 5 mins,36 ,36,122,3g,2g,13mg,121mg,22g,1g,15g,1g,0mg,15mg,1mg,30mg,4.7,"4,565",,36 cookies,,30 mins,,
52,6649867,Sopapilla Cheesecake Pie,20 mins,30 mins,, 2 hrs 50 mins,12 ,12,481,29g,15g,61mg,459mg,51g,0g,38g,6g,,35mg,2mg,52mg,4.8,"2,650",,12 cheesecake squares,, 2 hrs,,
53,6648990,Best Soft Christmas Cookies,20 mins,15 mins,, 2 hrs 35 mins,48 ,48,97,4g,1g,8mg,81mg,14g,0g,6g,1g,,10mg,1mg,16mg,4.5,"1,619",,4 dozen,, 2 hrs,,
54,6650662,3-Ingredient Peanut Butter Cookies,15 mins,10 mins,,25 mins,24 ,24,98,6g,1g,8mg,52mg,11g,1g,9g,3g,,6mg,0mg,73mg,4.5,654,,2 dozen cookies,,,,
55,6663311,Peanut Butter Blossoms,15 mins,15 mins,,50 mins,36 ,36,149,9g,3g,11mg,73mg,15g,1g,11g,4g,,17mg,0mg,114mg,4.7,38,,3 dozen,,20 mins,,
56,6651200,Chocolate Chocolate Chip Cookies,15 mins,10 mins,,25 mins,48 ,48,125,7g,4g,18mg,63mg,16g,1g,10g,2g,,8mg,1mg,71mg,4.7,"4,217",,4 dozen,,,,
57,6651054,Pumpkin Chocolate Chip Cookies,10 mins,10 mins,,20 mins,24 ,24,202,11g,3g,8mg,171mg,27g,2g,17g,2g,1mg,37mg,1mg,99mg,4.6,"1,828",,2 dozen,,,,
58,6650664,Best Gingerbread Men Cookies,20 mins,10 mins,, 4 hrs 30 mins,24 ,24,158,6g,4g,23mg,125mg,24g,1g,11g,2g,,26mg,1mg,133mg,4.6,380,,2 dozen cookies,, 4 hrs,,
59,6650159,Grandma's Gingersnap Cookies,20 mins,10 mins,,30 mins,60 ,60,61,3g,1g,3mg,60mg,9g,0g,,1g,,4mg,0mg,27mg,4.8,"1,226",,60 cookies,,,,
60,6649830,Chocolate Cookies,15 mins,10 mins,,25 mins,48 ,48,116,7g,1g,8mg,90mg,14g,1g,9g,2g,,8mg,1mg,43mg,4.4,655,,48 cookies,,,,
61,6664865,Russian Tea Cakes,20 mins,15 mins,,50 mins,36 ,36,102,7g,3g,14mg,37mg,8g,0g,3g,1g,,6mg,0mg,24mg,4.7,"1,556",,3 dozen cookies,,15 mins,,
