,id_recipe,name,Prep Time:,Cook Time:,Soak Time:,Cool Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,7510177,Air Fryer Sweet Potato Chips,10 mins,15 mins,20 mins,5 mins,50 mins,4 ,4,82,4g,0g,0mg,153mg,12g,2g,4g,1g,11mg,22mg,0mg,271mg,,,,
1,6663120,Jamie's Sweet and Easy Corn on the Cob,5 mins,5 mins,,,20 mins,6 ,6,94,1g,0g,,14mg,22g,2g,7g,3g,7mg,2mg,1mg,246mg,4.8,520,10 mins,
2,6649411,Sarah's Homemade Applesauce,10 mins,15 mins,,,25 mins,4 ,4,121,0g,,,3mg,32g,4g,27g,0g,6mg,13mg,0mg,150mg,4.8,"3,300",,
3,6651174,Vietnamese Fresh Spring Rolls,45 mins,5 mins,,,50 mins,8 ,8,82,1g,0g,11mg,305mg,16g,1g,5g,3g,2mg,13mg,0mg,62mg,4.7,762,,8 spring rolls
4,6649729,Perfect Summer Fruit Salad,25 mins,5 mins,,, 3 hrs 30 mins,10 ,10,155,1g,0g,,5mg,39g,5g,29g,2g,94mg,45mg,1mg,451mg,4.6,583, 3 hrs,
5,6664169,Split Pea Soup,15 mins, 2 hrs,,, 10 hrs 15 mins,6 ,6,310,1g,0g,,255mg,58g,22g,10g,20g,14mg,85mg,4mg,1084mg,4.7,"1,407", 8 hrs,
6,6664138,Gnocchi,30 mins,30 mins,,, 1 hr,4 ,4,329,2g,1g,53mg,22mg,67g,3g,1g,10g,7mg,23mg,3mg,397mg,4.3,665,,
7,6663877,Cabbage Fat-Burning Soup,20 mins,25 mins,,,45 mins,15 ,15,90,1g,0g,,483mg,21g,6g,12g,4g,77mg,100mg,2mg,769mg,4.5,"2,175",,
8,6649719,Apple Pie Filling,20 mins,20 mins,,, 2 hrs 40 mins,40 ,40,129,0g,,,61mg,33g,1g,28g,0g,3mg,7mg,0mg,63mg,4.7,453, 2 hrs,Apple filling for 5 (9-inch) pies
9,6663158,Black Beans and Rice,5 mins,25 mins,,,30 mins,6 ,6,140,1g,0g,,354mg,27g,6g,1g,6g,3mg,39mg,2mg,298mg,4.3,"1,299",,
10,6741756,The Best Fresh Tomato Salsa,20 mins,,,,20 mins,40 ,40,5,,,,25mg,1g,0g,1g,0g,4mg,3mg,0mg,45mg,4.7,644,,5 cups
11,6663460,Easy Sweet Potato Casserole,10 mins,50 mins,,, 1 hr,10 ,10,385,1g,1g,3mg,168mg,91g,9g,,4g,7mg,105mg,2mg,939mg,4.5,61,,
12,6600167,Dry Onion Soup Mix,5 mins,,,,5 mins,4 ,4,34,1g,0g,1mg,81mg,5g,0g,1g,2g,3mg,26mg,0mg,85mg,4.8,219,,about 6 1/2 tablespoons
13,6739181,Slow Cooker Barbeque Chicken,10 mins, 4 hrs,,, 4 hrs 10 mins,4 ,4,364,3g,1g,61mg,1464mg,60g,1g,46g,23g,1mg,38mg,1mg,443mg,4.6,238,,
14,6650444,Rolo Pretzel Turtles,10 mins,5 mins,,,15 mins,20 ,20,82,2g,1g,0mg,263mg,14g,1g,2g,2g,,11mg,1mg,34mg,4.8,"1,651",,20 candies
15,6664127,Brazilian Grilled Pineapple,10 mins,10 mins,,,20 mins,6 ,6,255,0g,,,13mg,66g,4g,58g,1g,109mg,68mg,1mg,300mg,4.9,94,,6 wedges
16,6598591,Canned Apple Pie Filling,30 mins,10 mins,,, 1 hr,56 ,56,97,0g,,,85mg,25g,1g,21g,0g,3mg,5mg,0mg,54mg,4.6,396,20 mins,7 quarts
17,6737504,Hard Candy,5 mins,25 mins,,,45 mins,36 ,36,124,,,,9mg,32g,,25g,,,2mg,,1mg,4.6,205,15 mins,
18,6737824,Fresh Homemade Salsa,20 mins,,,, 1 hr 20 mins,12 ,12,11,0g,,,68mg,2g,1g,1g,0g,6mg,8mg,0mg,94mg,4.8,44, 1 hr,3 cups
19,6587764,Sweet Zucchini Relish,50 mins, 1 hr 10 mins,,, 12 hrs,112 ,112,47,,,,313mg,12g,0g,11g,0g,5mg,4mg,0mg,45mg,4.8,315, 10 hrs,7 1/2-pints
20,6598703,Instant Pot Pinto Beans (No Soaking),15 mins, 1 hr,,, 1 hr 25 mins,8 ,8,236,3g,1g,7mg,973mg,39g,9g,3g,15g,32mg,73mg,3mg,880mg,4.9,46,10 mins,
21,6589893,Old Bay-Seasoned Steamed Shrimp,5 mins,10 mins,,,15 mins,4 ,4,88,1g,0g,173mg,954mg,,,,19g,2mg,35mg,3mg,161mg,4.6,11,,
22,6664155,Slow Cooker Turkey Breast,10 mins, 8 hrs,,, 8 hrs 10 mins,12 ,12,273,2g,1g,164mg,309mg,2g,0g,0g,60g,0mg,29mg,3mg,577mg,4.6,"1,681",,
23,6650486,Quick and Easy Vegetable Soup,15 mins,35 mins,,,50 mins,6 ,6,116,1g,0g,2mg,640mg,24g,5g,6g,4g,40mg,38mg,1mg,593mg,4.7,549,,
24,6739678,Tomatillo Salsa Verde,10 mins,15 mins,,,25 mins,8 ,8,24,1g,0g,,440mg,5g,1g,3g,1g,8mg,13mg,1mg,180mg,4.6,597,,
25,6580784,Candied Lemon Peel,10 mins, 1 hr,,, 1 hr 40 mins,15 ,15,108,0g,,,4mg,29g,1g,27g,0g,17mg,17mg,0mg,33mg,4.5,101,30 mins,
26,6603569,Homemade Lady Fingers,25 mins,10 mins,,,35 mins,48 ,48,25,0g,0g,16mg,11mg,5g,0g,3g,1g,,5mg,0mg,8mg,4.5,255,,4 dozen
27,6650067,Air Fryer Roasted Bananas,5 mins,10 mins,,,15 mins,1 ,1,107,1g,0g,,1mg,27g,3g,14g,1g,10mg,6mg,0mg,422mg,4.5,10,,
28,6575205,Smoked Fish Dip,15 mins,,,,15 mins,16 ,16,25,0g,0g,6mg,202mg,1g,,1g,4g,0mg,11mg,0mg,76mg,4.6,106,,2 cups
29,6665032,Easy Chinese Corn Soup,5 mins,10 mins,,,15 mins,4 ,4,121,2g,1g,48mg,409mg,24g,2g,4g,5g,6mg,11mg,1mg,178mg,4.4,98,,
30,6649375,"Heather's Cilantro, Black Bean, and Corn Salsa",25 mins,,,,25 mins,72 ,72,30,1g,0g,,85mg,5g,1g,1g,1g,5mg,9mg,0mg,84mg,4.7,478,,
31,6737966,Red Lentil Curry,10 mins,40 mins,,,50 mins,8 ,8,192,3g,0g,,572mg,33g,11g,7g,12g,9mg,44mg,6mg,727mg,4.5,"1,432",,
32,6576293,Maryland Crab Soup,15 mins,30 mins,,,45 mins,10 ,10,165,1g,0g,52mg,882mg,22g,5g,6g,18g,10mg,121mg,3mg,810mg,4.6,192,,
33,6737316,Fiesta Slow Cooker Shredded Chicken Tacos,10 mins, 6 hrs,,, 6 hrs 10 mins,8 ,8,71,1g,0g,30mg,415mg,2g,,1g,11g,,5mg,0mg,71mg,4.5,168,,
34,6649479,Instant Pot Beef Bone Broth,10 mins, 2 hrs 55 mins,,, 3 hrs 15 mins,8 ,8,21,0g,,,248mg,5g,1g,2g,1g,3mg,28mg,3mg,132mg,4.9,28,10 mins,
35,6648629,Snow Ice Cream,20 mins,,,,20 mins,8 ,8,132,1g,1g,5mg,40mg,28g,,28g,2g,0mg,87mg,,99mg,4.6,250,,
36,6651040,Baked Beans from Scratch,10 mins, 7 hrs 20 mins,,, 7 hrs 30 mins,10 ,10,122,0g,,,196mg,26g,5g,12g,5g,2mg,53mg,2mg,364mg,4.5,133,,5 cups
37,6650672,Grandma's Slow Cooker Vegetarian Chili,10 mins, 2 hrs,,, 2 hrs 10 mins,8 ,8,260,2g,0g,1mg,966mg,53g,13g,9g,12g,19mg,102mg,5mg,451mg,4.4,972,,
38,6737158,Homemade Horseradish,10 mins,,,,10 mins,10 ,10,12,,,,59mg,3g,,1g,0g,16mg,14mg,0mg,76mg,4.7,108,,1 1/4 cups
39,6602814,Delicious Baked Apples,15 mins,45 mins,,, 1 hr,6 ,6,147,1g,1g,2mg,9mg,37g,6g,27g,1g,10mg,29mg,0mg,240mg,4.4,95,,
40,6650376,Pure Maple Candy,15 mins,10 mins,,, 1 hr 5 mins,18 ,18,113,2g,0g,,3mg,24g,0g,21g,1g,,27mg,1mg,86mg,4.5,118,40 mins,18 maple leaves
41,6651074,Bourbon Chicken,15 mins,30 mins,,, 8 hrs 45 mins,4 ,4,313,2g,0g,68mg,1664mg,31g,1g,28g,29g,3mg,46mg,2mg,437mg,4.5,546, 8 hrs,
42,6741021,Macarons (French Macaroons),30 mins,10 mins,,, 2 hrs 10 mins,16 ,16,92,1g,0g,,1mg,18g,,,3g,,30mg,1mg,99mg,4.3,365, 1 hr 30 mins,16 macarons
43,6664703,Mango Salsa,15 mins,,,,45 mins,8 ,8,21,0g,,,1mg,5g,1g,4g,0g,17mg,6mg,0mg,70mg,4.7,507,30 mins,
44,6649200,Canadian Yellow Split Pea Soup with Ham,20 mins, 3 hrs 10 mins,,, 3 hrs 30 mins,12 ,12,172,0g,,,995mg,32g,1g,3g,12g,3mg,26mg,2mg,134mg,4.7,176,,
45,6649500,Classic Turkey and Rice Soup,20 mins, 1 hr 25 mins,,, 1 hr 45 mins,8 ,8,115,2g,0g,4mg,56mg,22g,2g,4g,3g,9mg,59mg,1mg,258mg,4.3,45,,
46,6738161,Quinoa and Black Beans,15 mins,35 mins,,,50 mins,10 ,10,153,2g,0g,,517mg,28g,8g,2g,8g,5mg,41mg,2mg,333mg,4.7,"6,025",,
47,6664701,Baked BBQ Chicken Tenders,5 mins,30 mins,,,35 mins,4 ,4,175,3g,1g,65mg,1340mg,12g,0g,5g,24g,1mg,38mg,1mg,265mg,4.4,11,,
48,6602321,Microwave Corn on the Cob in the Husk,5 mins,5 mins,,,10 mins,1 ,1,77,1g,0g,,14mg,17g,2g,3g,3g,6mg,2mg,1mg,243mg,4.8,57,,
49,6596425,Homemade Stewed Tomatoes,20 mins,30 mins,,,50 mins,16 ,16,14,0g,,,481mg,3g,1g,2g,1g,18mg,9mg,1mg,168mg,4.2,39,,
50,6648243,Vegan Black Bean Burgers,15 mins,20 mins,,,35 mins,4 ,4,264,1g,0g,,1264mg,52g,11g,4g,12g,17mg,86mg,5mg,602mg,4.5,198,,
51,6582924,Baked Banana Chips,10 mins, 2 hrs,,, 2 hrs 15 mins,2 ,2,106,0g,0g,,1mg,27g,3g,15g,1g,12mg,6mg,0mg,426mg,2.6,10,5 mins,
52,6581353,Apple Chips,10 mins,45 mins,,,55 mins,6 ,6,24,,,,1mg,7g,1g,6g,0g,2mg,3mg,0mg,35mg,4.1,108,,
53,6571178,Air Fryer Fried Mushrooms,10 mins,25 mins,,,35 mins,8 ,8,144,3g,1g,70mg,540mg,24g,2g,2g,8g,2mg,29mg,2mg,254mg,4.0,8,,
54,6648805,Porridge,5 mins,10 mins,,,15 mins,4 ,4,157,2g,1g,2mg,600mg,32g,4g,12g,4g,5mg,57mg,1mg,333mg,3.6,27,,
55,6595481,Cornmeal Mush,5 mins,5 mins,,,10 mins,8 ,8,80,0g,,,147mg,17g,1g,0g,2g,,1mg,1mg,33mg,3.6,84,,
56,6596504,Hearty Vegan Slow-Cooker Chili,30 mins, 5 hrs 10 mins,,, 5 hrs 40 mins,15 ,15,134,2g,0g,,617mg,25g,7g,7g,6g,50mg,99mg,4mg,665mg,4.5,160,,
57,6571244,Easy Pressure Cooker Potatoes,5 mins,10 mins,,,25 mins,8 ,8,224,0g,0g,,16mg,51g,4g,2g,6g,16mg,39mg,2mg,1183mg,5.0,5,10 mins,
58,6663522,Slow Cooker Spicy Black-Eyed Peas,30 mins, 6 hrs,,, 6 hrs 30 mins,10 ,10,199,3g,1g,10mg,341mg,30g,6g,4g,14g,18mg,67mg,4mg,613mg,4.7,813,,
59,6737821,Clean Banana Oat Cookies,10 mins,15 mins,,,25 mins,12 ,12,55,1g,0g,16mg,53mg,10g,1g,3g,2g,2mg,26mg,1mg,110mg,3.9,116,,12 cookies
60,6569376,Indian Spiced Onions,5 mins,,,,1 day 5 mins,4 ,4,28,0g,,,36mg,7g,1g,6g,1g,3mg,8mg,0mg,69mg,3.3,8,1 day,
61,6590720,Mashed Sweet Potatoes with Marshmallows,25 mins,40 mins,,, 1 hr 5 mins,8 ,8,190,0g,,,61mg,45g,3g,26g,2g,19mg,46mg,1mg,476mg,4.6,53,,
62,6740955,Vegan Split Pea Soup,10 mins, 3 hrs 5 mins,,, 3 hrs 15 mins,10 ,10,247,2g,0g,,387mg,46g,14g,5g,13g,20mg,56mg,3mg,838mg,4.5,464,,
